Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Stats,Job_Description,Education
"Lead - Data Scientist
Bion",Bion,Bengaluru,6 - 11 years,"Key Skills
Data ScienceData ScientistMachine learningPredictiveTime SeriesRegressionPredictivityAnalyticsPython",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 1123,"Overview

As a Lead Data Scientist, you will help identify right business problems that will be more effectively solved with Machine Learning techniques. Then you will apply your algorithmic and statistical skills, knowledge of ML techniques, grasp of fundamental Math, and familiarity with big data to solve the problem in the simplest possible way. You will also lead and mentor junior Data Scientists and engineers in ML projects.

Responsibilities

Collaborate with product and business teams to understand all aspects of the problem

Define the right target metrics that best represent the end-user value

Apply knowledge of ML, statistics, and advanced mathematics to conceptualize, experiment and design an intelligent system

Work with engineers to build the system end-to-end including Big Data pipelines and ensure the serving system is scalable and highly performant.

Qualifications

A Bachelor's degree or a higher degree in Computer Science, Statistics, Mathematics or a related field.

Strong problem-solving and programming skills with a deep understanding of data structures and algorithms.

Solid understanding of mathematical underpinnings behind Machine Learning algorithms and proficiency in probability, statistics, linear algebra, calculus, and optimization.

Must have 2+ years of experience in ML with a proven record of successful ML projects with strong individual contribution

Experience with NLP, Distributed Systems, large scale computing, Big Data technologies like Hadoop and Spark are plus.","Education
UG :B.Sc in Maths, Computers, Statistics, B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Doctorate :Doctorate Not Required"
"Lead - Data Scientist
Bion",Bion,Bengaluru,6 - 10 years,"Key Skills
Data ScienceData ScientistMachine learningPredictiveTime SeriesRegressionPredictivityAnalyticsPython",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 598,"Overview
As a Lead Data Scientist, you will help identify right business problems that will be more effectively solved with Machine Learning techniques. Then you will apply your algorithmic and statistical skills, knowledge of ML techniques, grasp of fundamental Math, and familiarity with big data to solve the problem in the simplest possible way. You will also lead and mentor junior Data Scientists and engineers in ML projects.

Responsibilities
Collaborate with product and business teams to understand all aspects of the problem
Define the right target metrics that best represent the end-user value
Apply knowledge of ML, statistics, and advanced mathematics to conceptualize, experiment and design an intelligent system
Work with engineers to build the system end-to-end including Big Data pipelines and ensure the serving system is scalable and highly performant.
Required Candidate profile
Qualifications
A Bachelor's degree or a higher degree in Computer Science, Statistics, Mathematics or a related field.
Strong problem-solving and programming skills with a deep understanding of data structures and algorithms.
Solid understanding of mathematical underpinnings behind Machine Learning algorithms and proficiency in probability, statistics, linear algebra, calculus, and optimization.
Must have 2+ years of experience in ML with a proven record of successful ML projects with strong individual contribution
Experience with NLP, Distributed Systems, large scale computing, Big Data technologies like Hadoop and Spark are plus.","Education
UG :B.Sc in Maths, Computers, Statistics, B.Tech/B.E. in Computers, Any Graduate in Any Specialization, B.A in Statistics, Maths
PG :M.A in Journalism, Maths, Statistics, MBA/PGDM in Any Specialization, M.Tech in Computers, MS/M.Sc(Science) in Computers, Statistics, Maths
Doctorate :Doctorate Not Required"
"Lead - Data Scientist
Bion",Bion,Bengaluru,6 - 8 years,"Key Skills
Data ScienceData ScientistMachine learningPredictiveTime SeriesRegressioncalculusPredictivityAnalyticslinear algebraPython",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 201,"Overview

As a Lead Data Scientist, you will help identify right business problems that will be more effectively solved with Machine Learning techniques. Then you will apply your algorithmic and statistical skills, knowledge of ML techniques, grasp of fundamental Math, and familiarity with big data to solve the problem in the simplest possible way. You will also lead and mentor junior Data Scientists and engineers in ML projects.

Responsibilities

Collaborate with product and business teams to understand all aspects of the problem

Define the right target metrics that best represent the end-user value

Apply knowledge of ML, statistics, and advanced mathematics to conceptualize, experiment and design an intelligent system

Work with engineers to build the system end-to-end including Big Data pipelines and ensure the serving system is scalable and highly performant.


Required Candidate profile
BE / B.Tech / MCA
Qualifications

A Bachelor's degree or a higher degree in Computer Science, Statistics, Mathematics or a related field.

Strong problem-solving and programming skills with a deep understanding of data structures and algorithms.

Solid understanding of mathematical underpinnings behind Machine Learning algorithms and proficiency in probability, statistics, linear algebra, calculus, and optimization.

Must have 2+ years of experience in ML with a proven record of successful ML projects with strong individual contribution

Experience with NLP, Distributed Systems, large scale computing, Big Data technologies like Hadoop and Spark are plus.","Education
UG :B.A in Statistics, Maths, B.Sc in Maths, Statistics, B.Tech/B.E. in Computers
PG :MS/M.Sc(Science) in Computers, Statistics, Maths, M.Tech in Computers, MCA in Computers, M.A in Maths, Statistics
Doctorate :Doctorate Not Required"
"Data Scientist - Python/pandas/ Numpy
Catalyst",Catalyst,Bengaluru,3 - 8 years,"Key Skills
TensorflowData ScientistPandasMachine LearningNumpyDeep LearningPython",Not Disclosed,Posted: 13 days agoJob Applicants: 1855,"Job Description :

- Should be able to program in python. Should be highly skilled in this.

- Should have experience in formulating problem statement and decide what data can help in solving the problem.

- Should have overall idea on how to put machine learning models into production. Although there is no need to work on this directly, it is important to guide data engineering and backend team for getting desired results

- Should be able to communicate with business and other stakeholders for understanding problems for producing possible solutions. Should give demos for proof of concepts(poc)

- Should be interested in learning about advancements in deep learning field and going through research papers and latest updates of the field.

- Should have skills in using pandas,numpy, scipy, sklearn, spacy, nltk, keras/pytorch/tensorflow and familiar in using gpu machines for training purpose

- Should have an attitude of owning the problem and generating industry standard solutions and ultimately reach to state of the art solutions to the problems.

- It will be really great if presenting at tech conferences is one of the interests. Also, we encourage you to write on tech blog. This part is optional","Education
UG :B.Sc in Any Specialization, BCA in Computers, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
"Data Scientist
Bion",Bion,Bengaluru,2 - 7 years,"Key Skills
Data ScienceNLPData ScientistMachine learningPredictiveTime SeriesRegressionPredictivityAnalyticsPython",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 4751,"Responsibilities

Collaborate with product and business teams to understand all aspects of the problem

Define the right target metrics that best represent the end-user value

Apply knowledge of ML, statistics, and advanced mathematics to conceptualize, experiment and design an intelligent system

Work with engineers to build the system end-to-end including Big Data pipelines and ensure the serving system is scalable and highly performant.

Qualifications

A Bachelor's degree or a higher degree in Computer Science, Statistics, Mathematics or a related field.

Strong problem-solving and programming skills with a deep understanding of data structures and algorithms.

Solid understanding of mathematical underpinnings behind Machine Learning algorithms and proficiency in probability, statistics, linear algebra, calculus, and optimization.

Must have 2+ years of experience in ML with a proven record of successful ML projects with strong individual contribution

Experience with NLP, Distributed Systems, large scale computing, Big Data technologies like Hadoop and Spark are plus.","Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Doctorate :Doctorate Not Required"
"Lead Data Scientist
Catalyst",Catalyst,Bengaluru,2 - 4 years,"Key Skills
Data SciencePattern RecognitionArtificial Intelligence AIImage ProcessingComputer ScienceData MiningResearchComputer VisionMachine LearningDeep Learning",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 1562,"Roles and responsibilities

As a Data Scientist - Research, you will have the onus of working with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed; Conduct end-to-end analysis that includes research, hypothesis testing, and thought leadership. You will work on state-of-the-art technologies and build things that have never existed in the past spanning across building Machine Learning solutions, implementing complex data processing flows to crunch data and produce insights and mentoring a team of data scientists to create world-class AI-based products for healthcare

Required Candidate profile
What you'll need

PhD in Computer Science /Electrical Engineering from a premier institute
MTech/MS in Computer Science /Electrical Engineering with significant research experience and publications can also qualify. Will need 2+ years of post-MS/MTech industry experience
Hands on experience in any two of the following: Machine learning/feature engineering/pattern recognition in one or more of the following fields - medicine, financial, supply chain optimisation
Building and implementing advanced statistical models and data mining
Computer vision techniques; deep learning and applications of machine learning on images and videos
Publications in the field of machine learning/pattern recognition/computer vision in tier-1 journals and conferences
Experience in mentoring a team of data scientist technically is preferable

This position will report directly to the Chief Scientific Officer.","Education
UG :Any Graduate in Any Specialization
PG :M.Tech in Computers, Electrical
Doctorate :Ph.D in Commerce, Electrical"
"Lead Data Scientist
Catalyst",Catalyst,Bengaluru,2 years,"Key Skills
Data SciencePattern RecognitionArtificial Intelligence AIImage ProcessingComputer ScienceData MiningResearchComputer VisionMachine LearningDeep Learning",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 542,"Roles and responsibilities

As a Data Scientist - Research, you will have the onus of working with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed; Conduct end-to-end analysis that includes research, hypothesis testing, and thought leadership. You will work on state-of-the-art technologies and build things that have never existed in the past spanning across building Machine Learning solutions, implementing complex data processing flows to crunch data and produce insights and mentoring a team of data scientists to create world-class AI-based products for healthcare

Required Candidate profile
Any Graduate
What you'll need

PhD in Computer Science/Electrical Engineering from a premier institute
MTech/MS in Computer Science/Electrical Engineering with significant research experience and publications can also qualify. Will need 2+ years of post-MS/MTech industry experience
Hands on experience in any two of the following: Machine learning/feature engineering/pattern recognition in one or more of the following fields - medicine, financial, supply chain optimisation
Building and implementing advanced statistical models and data mining
Computer vision techniques; deep learning and applications of machine learning on images and videos
Publications in the field of machine learning/pattern recognition/computer vision in tier-1 journals and conferences
Experience in mentoring a team of data scientist technically is preferable

This position will report directly to the Chief Scientific Officer.","Education
UG :Any Graduate in Any Specialization
PG :MS/M.Sc(Science) in Computers, Electrical Engineering, M.Tech in Computers, Electrical
Doctorate :Ph.D in Computers, Electrical"
"Lead Data Scientist
Bion",Bion,Bengaluru,2 - 7 years,"Key Skills
Data SciencePattern RecognitionArtificial Intelligence AIImage ProcessingComputer ScienceData MiningResearchComputer VisionMachine LearningDeep Learning",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 2038,"Roles and responsibilities

As a Data Scientist - Research, you will have the onus of working with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed; Conduct end-to-end analysis that includes research, hypothesis testing, and thought leadership. You will work on state-of-the-art technologies and build things that have never existed in the past spanning across building Machine Learning solutions, implementing complex data processing flows to crunch data and produce insights and mentoring a team of data scientists to create world-class AI-based products for healthcare

What you'll need

PhD in Computer Science/ Electrical Engineering from a premier institute
MTech/ MS in Computer Science/ Electrical Engineering with significant research experience and publications can also qualify. Will need 2+ years of post-MS/MTech industry experience
Hands on experience in any two of the following: Machine learning/feature engineering/pattern recognition in one or more of the following fields - medicine, financial, supply chain optimisation
Building and implementing advanced statistical models and data mining
Computer vision techniques; deep learning and applications of machine learning on images and videos
Publications in the field of machine learning/pattern recognition/computer vision in tier-1 journals and conferences
Experience in mentoring a team of data scientist technically is preferable

This position will report directly to the Chief Scientific Officer.","Education
UG :Any Graduate in Any Specialization
PG :M.Tech in Computers, Electrical, MS/M.Sc(Science) in Computers, Electrical Engineering
Doctorate :Ph.D in Computers, Electrical"
"Data Scientist - Python/r
Catalyst",Catalyst,Bengaluru,2 - 6 years,"Key Skills
Data ScienceRData ScientistData Managementproduct developmentPythonSQL",Not Disclosed,Posted: 13 days agoOpenings: 1Job Applicants: 2681,"What You'll Do :

- Leverage data to perform intensive analysis across all areas of our business to catalyze product development

- Design experiments and interpret the results to draw detailed and actionable conclusions

- Generate and execute on ideas for exploratory analysis to shape future projects and provide recommendations for actions

- Perform time-series analyses, hypothesis testing, and causal analyses to statistically assess relative impact and extract trends

- Create models to enhance understanding of user behavior and predict future performance of cohorts

- Create dashboards and reports to regularly communicate results and monitor key metrics

- Present findings to senior management to guide business decisions

- Collaborate with cross-functional teams across disciplines such as product, engineering, operations, and marketing

Required Candidate profile
What You'll Need :

- 3-5 years of experience in a quantitative analysis role

- BE/BS/MS in Physics, Economics, Applied Math, Statistics, Engineering, Computer Science, or other quantitative field (advanced degrees are a plus)

- Comfortable writing code and contributing to a code base in Python or R

- Proficient in writing and understanding complex SQL; experience working with large data sets

- Advanced knowledge of experimentation and statistical methods

- Ability to deliver on tight timelines and move quickly while maintaining attention to detail

- Collaborate closely with cross-functional teams to execute on decisions

- Self-driven and proactive with the ability to work in a self-guided manner

- Excellent communication and organization skills","Education
UG :B.Sc in Other Specialization, Physics, Statistics, B.Tech/B.E. in Computers
PG :MS/M.Sc(Science) in Physics, Computers, Statistics
Doctorate :Doctorate Not Required"
"Lead Data Scientist
Bigshyft Hiring for Trell",Bigshyft Hiring for Trell,Bengaluru,10 - 14 years,"Key Skills
Data MiningMachine Learning MLComputer VisionStatistical ModellingPython","₹ 45,00,000 - 60,00,000 P.A.",Posted: 8 days agoJob Applicants: 193,"What Makes You A Great Fit:
Bachelor's / Master's degree in a quantitative discipline, e.g., Computer Science, Mathematics, Statistics, Artificial Intelligence.
10+ years of hands-on experience in designing algorithms in Data Science and Artificial Intelligence.
Prior experience/background in Content/Media domain is preferred.
5+ years of relevant experience in DS.
Experience working in and playing with user-related content data sets and extraction.
The primary task will be to build 2 modules i.e. e-commerce module (content module) and ad personalization module. These have to be built from the ground level up.
The role will also be responsible for managing and mentoring the existing team and growing the team down the lane.","Education
UG :B.Tech/B.E. in Any Specialization"
"Data Scientist/Analyst - Machine Learning/Deep Learning
EchoIndia",EchoIndia,Delhi,3 - 6 years,"Key Skills
ArcGISGoogle MapsNLPData ScientistData ManagementStatistical ModelingTableauMachine LearningAlgorithmDeep LearningPython",Not Disclosed,Posted: 29 days agoJob Applicants: 596,"Roles and Responsibilities
Job Description :

- Strong experience in statistical models and machine learning models

Technologies :

- Python: Pandas, NumPy, SciPy, PySpark, PyTorch, Matplotlib

- Geolocation based tools like ArcGIS, Mapbox, Google Maps

- Tools: Jupyter Notebook, Tableau, Power BI, Apache Superset, Grafana

- Techniques: Regression analysis, Natural Language Processing (NLP) models, CNN DNN, Decision tree, Deep learning algorithms.","Education
UG :B.Sc in Any Specialization, BCA in Computers, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
"Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS
Huquo Consulting Pvt. Ltd",Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5 - 10 years,"Key Skills
Data ScienceNLPData ScientistData ManagementData ModelingData AnalyticsMachine LearningAnalyticsPython",Not Disclosed,Posted: 3 days agoOpenings: 1Job Applicants: 180,"Responsibilities:

- Interact with clients and internal business teams to identify and define the right problems to solve

- Create state of the art, scalable, and self-learning solutions for real business problems. This involves :

- Choosing the most appropriate machine learning technique based on business needs and available data

- Training and tuning a variety of machine learning models which include traditional as well as deep learning models

- Analyzing and reporting model performance and accuracy

- Own the development and deployment of end-to-end machine learning solutions

- Data exploration and pre-processing

- Model training and optimization

- Model performance evaluation

- Solution deployment

- Monitoring solution outcome

- Rapidly prototype the solutions in an agile manner

- Experiment and develop novel machine learning algorithms in the area of smart document processing, image processing and speech analytics

- Deploy machine learning/ deep learning models in production; both on premise as well as cloud deployment

- Present advanced analytics solutions to clients and internal stake holders

Requirements:

- 3-10 years of experience in developing and deploying machine learning solutions(including deep learning)

- Organized, self-motivated, disciplined and detail oriented

- Proficiency in one or more of programming languages like Python/ Java/ Scala

- Experience with one or more of deep learning frameworks like Tensorflow, Torch, Keras, Caffe, MXNet, Theano

- Ability to learn emerging Machine Learning and Deep Learning techniques and apply them to solve real-world problems

- Experience in the area of Computer Vision / Natural Language Processing

- Experience with model optimization on GPUs is preferred

- Knowledge of Dockers, Containers and model API development is a plus

- Experience with big data analytics technologies like Apache Spark, Kafka, Flume, ElasticSearch is a plus
Required Candidate profile
- Education: Bachelor's/ Master's degree in quantitative fields (Statistics, Operations Research, Mathematics, Econometrics, Computer Science, Physics, Electrical Engineering etc.). An advanced degree is preferred.","Education
UG :B.Tech/B.E. in Electrical, Computers, B.A in Economics, Statistics, Maths, B.Sc in Maths, Physics, Computers, Statistics, BCA in Computers
PG :M.Tech in Computers, Electrical, MCA in Computers, M.A in Maths, Economics, Statistics, MBA/PGDM in HR/Industrial Relations, MS/M.Sc(Science) in Physics, Computers, Statistics, Maths
Doctorate :Doctorate Not Required"
"Associate NLP & Text Mining Data Scientist
Valence Health",Valence Health,Pune,0 - 2 years,"Key Skills
UnixComputer scienceC++AutomationClaimsLinuxData miningOperationsInternshipAnalytics",Not Disclosed,Posted: 30+ days agoOpenings: 1Job Applicants: 441,"Position summary
The Associate NLP and Text Mining s cientist will support building of Data Science & AI products in Agile fashion that empower healthcare payers, providers and members to quickly process medical data to making informed decisions and overall reduce health care costs. As a j unior research scientist/engineer part of Data Science and Artificial Intelligence team you will be working primarily on unstructured text data to build machine learning models for information retrieval applications.
  These applications include but are not limited to optical character recognition, understanding the contents of the medical documents using natural language processing, and integrating processes into the overall AI pipeline to mine healthcare and medical information with high recall and other relevant metrics. We ingest claims, medical charts, etc. from providers containing unstructured data which will be transformed into structured data to support automated entry into our storage layers for downstream applications. The results will be used dually for real-time operational processes with both automated and human-based decision making as well as contribute to reducing healthcare administrative costs. We work with all major cloud and big data vendors offerings including but not limited to (Azure, AWS, Google, IBM, etc.) to achieve AI goals in healthcare and support Evolent business.
Essential functions
The J r. NLP Text Mining Scientist / Engineer will have the opportunity Learn, contribute to shape team culture and operating norms as a result of the fast-paced nature of a new, high-growth organization.
0-2 years of Industry experience primarily related to Unstructured Text Data and NLP (PhD work and internships will be considered if they are related to unstructured text towards industry experience
Develop Natural Language Medical/Healthcare documents comprehension related products to support Evolent Health business objectives, products and improve processing efficiency, reducing overall healthcare costs
Gather external data sets; build synthetic data and label data sets as per the needs for NLP/NLR/NLU
Apply software engineering skills to build Natural Language products to improve automation and improve user experiences leveraging unstructured data storage, Entity Recognition, POS Tagging, ontologies, taxonomies, data mining, information retrieval techniques, machine learning approach, distributed and cloud computing platforms
Assist owners of the Natural Language and Text Mining products from platforms to systems for model training, versioning, deploying, storage, and testing models with creating real time feedback with human in the loop s to fully automated services
Work closely and collaborate with Data Scientists, Machine Learning engineers, IT teams and Business stakeholders spread out across various locations in US and India to achieve business goals
Strong understanding of mathematical concepts including but not limited to linear algebra, Advanced calculus, partial differential equations , and statistics including Bayesian approaches
Good programming experience including understanding of concepts in data structures, algorithms, compression techniques, high performance computing, distributed computing, and various computer architecture through education and internship
Good understanding and experience with traditional data science approaches like sampling techniques, feature engineering, classification and regressions, SVM, trees, model evaluations
Additional course work, projects, research participation and/or publications in Natural Language processing, reasoning, and understanding, information retrieval, text mining, search, computational linguistics, ontologies, semantics is preferred
Hands on Knowledge with developing in two or more of the following languages (Python, C++, Java, Scala)
Strong Unix/Linux background and experience with at least exposure to one of the following cloud vendors like AWS, Azure, and Google
Knowledge or Hands on experience with one or more of high-performance computing and distributed computing like Spark, Dask, Hadoop, CUDA distributed GPU
Basic understanding of deep learning architectures and hands on experience with one or more frameworks like tensorflow , pytorch , keras
Knowledge or experience with one or more libraries and tools like Spacy, NLTK, Stanford core NLP , Genism,
Understanding business use cases and be able to translate them to actual work
Identify enhancements and follow best practices that can help to improve the productivity of the team.
Nice to Have
Knowledge of Medical concepts with codes from standard ontologies (SNOMED CT, LOINC, RxNorm, ICD, etc.)
Knowledge/ Experience with dockers
Knowledge of REST API s
Participation in open source community projects
Academic Qualification :
M aster s degree or above in Computer Science, Computational linguistics, Mathematics, Physics or electrical engineering with research experience from a strong academic program along with thesis ( No Post Graduate diplomas and undergraduate degrees )
Completion of thesis/research is required as part of graduation in computer science, artificial intelligence, Mathematics, Physics, Electrical Engineering or statistics
A PhD degree in Computer Science, Artificial Intelligence, Computational Linguistics, Machine Learning, or related technical field is preferred from a strong academic program
Publication record in top NLP conferences (NIPS, ICLR, ACL, NAACL, EMNLP, SIGIR, WWW etc) is preferred","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
"Urgent Hiring I Expert DATA Scientist For Canada/Australia/Germany
BASICS OF IMMIGRATION CONSULTANT SERVICES LLP",BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,"Hong Kong, Canada",5 - 10 years,"Key Skills
tl data scientistdata analysisdata miningSenior Data ScientistDatabase Administratordata sciencedata - centreEXPERT DATA SCIENTISTDatabaseData SecurityLead Data ScientistData Warehousingsenior vpn scientist","$ 85,000 - 100,000 P.A.",Posted: 7 days agoOpenings: 1Job Applicants: 366,"call- Manisha
9354164568

Job Responsibilities:
Undertaking data collection, preprocessing and analysis
Building models to address business problems
Presenting information using data visualization techniques

Job Duties:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams

Required Skills:
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred


For more Info Contact-
Manisha
9354164568","Education
UG :Any Graduate in Any Specialization, Graduation Not Required
PG :Post Graduation Not Required, Any Postgraduate in Any Specialization
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
"Urgent Hiring I Expert DATA Scientist For Canada
BASICS OF IMMIGRATION CONSULTANT SERVICES LLP",BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,Canada,2 - 7 years,"Key Skills
Data ScienceJavaRAlgorithmsdataHadoopData AnalysisData Miningit data scienctistTableauPythonSQL","$ 65,000 - 75,000 P.A.",Posted: 7 days agoJob Applicants: 341,"call/Whatsapp
9310086254

Job Responsibilities:
Undertaking data collection, preprocessing and analysis
Building models to address business problems
Presenting information using data visualization techniques
Job Duties:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Required Skills:
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred


For more Info Contact-
call/Whatsapp
9310086254","Education
UG :Any Graduate in Any Specialization"
"Big Data Engineer / Data Scientist
Advance Talent Services",Advance Talent Services,Delhi NCR,4 - 9 years,"Key Skills
Data ScienceHivesenior data scientistSqoopHadoopData EngineerBig Datadata scientistbig data engineerPythonPig",Not Disclosed,Posted: 5 days agoOpenings: 5Job Applicants: 162,"Roles and Responsibilities

Expectation;

1. Very Good Understanding of Big data platform architecture.
2. Should have project management experience.
3. High skill in Python coding.
4. Certification on data science is added advantage
5. Software Knowledge Hadoop , Python coding etc


Desired Candidate Profile


Experience with the following tools: Data Gathering skills/tools (e.g. SQL, Hadoop) and Visualization skills/tools (e.g. QlikView, Tableau, Matplotlib).
Proficient with data manipulation and analysis tools like Python and/or R.
Experience in machine learning and statistics.
Clear thinker with superb problem-solving skills to prioritize and stay focused on big needle movers
Attitude: Curious, self-motivated & a self-starter with a can do attitude. Comfortable working in fast paced dynamic environment and must have strong collaborative skills.
Independence and Learning Capacity: Capability to independently adapt to new stacks and technologies on-the-go without impacting on-going tasks/projects.
Communication Skills: Should be able to effectively communicate technically with other DEs and DSs as well as Business teams (non-technical).","Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers, MCA in Any Specialization"
"Data Scientist - Delhi (automobile OEM)
Industrial Personnel Network",Industrial Personnel Network,Delhi,4 - 9 years,"Key Skills
RData Scientistmachine learningPython",Not Disclosed,Posted: 6 days agoJob Applicants: Less than 10,"He/She should have a very good understanding of Big data Platform architecture, project management experience, and high skill in Python coding.
Required Candidate profile
    Candidate must have done B.Tech /MCA with 5-10 years of relevant experience and having expertise in Python, R and Machine Learning. ","Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required"
"Senior Data Scientist
Bigshyft Hiring for Info Edge",Bigshyft Hiring for Info Edge,Noida,3 - 6 years,"Key Skills
Machine Learning MLNatural Language Processing NLPDeep LearningPython","₹ 25,00,000 - 32,50,000 P.A.",Posted: 7 days agoJob Applicants: 56,"What You'll do:
Develop algorithms and build systems to extract seemingly unseen trends and information from user content such as resumes, job descriptions and profile information available through various sources and in different modalities such as numeric, structure and unstructured texts and images.
Build intelligent systems to capture and model the vast amount of behavior data to enrich the content understanding with behavioral information.
Ideate, formulate, create metrics and execute on such problems and get buy in from business.
Work closely with product and tech teams to define a new project and identify dependencies ahead of time and work with teams to ensure smooth delivery across teams.
Identify the most appropriate and cutting edge machine learning tools for various supervised and unsupervised tasks in the NLP, deep learning, semantic search, LTR space for building highly accurate and scalable recommender systems, and information retrieval solutions.
Act as thought leader SME within the organization and industry, represent the organisation on various platforms, publish research papers/blogs.

What makes you a great fit:
Very strong fundamental understanding and research experience in Machine Learning / Deep Learning / NLP / Information Retrieval / Artificial Intelligence areas
Strong applied knowledge of machine learning in solving real-world business problems with a significantly broad number of algorithms covering the landscape of classification, regression; discriminative, generative; supervised, unsupervised, semi-supervised; linear, and non-linear dimensionality reduction, feature extraction, feature selection, feature-learning.
Industry experience in applying a variety of machine learning solutions to real-world large-scale data to build intelligent systems
An excellent problem-solving skills with a research-oriented approach
Ability to capture, manage, create pipelines, and process Big Data
Perks and Benefits 
Pick-up/drop facility Day care facility 5 day work week Flexible work hours Health care benefits Option to 'work from home'","Education
UG :B.Tech/B.E. in Any Specialization"
